attempt,val_macro_f1,w_config-resnet,w_config-efficientnet,w_config-convnext
48,0.7937431931495667,0.1,0.3,0.6
49,0.7947645783424377,0.1,0.35,0.55
50,0.7957801222801208,0.1,0.4,0.5
51,0.7958679795265198,0.1,0.45,0.45
52,0.7957554459571838,0.1,0.5,0.4
53,0.7928125858306885,0.1,0.55,0.35
54,0.7929314970970154,0.1,0.6,0.3
55,0.7898606657981873,0.1,0.65,0.25
56,0.7904897928237915,0.1,0.7,0.2
57,0.7877777218818665,0.1,0.75,0.15
58,0.7854686975479126,0.1,0.8,0.1
59,0.784405529499054,0.1,0.85,0.05
60,0.7817261219024658,0.1,0.9,0.0
61,0.7897676825523376,0.15,0.0,0.85
62,0.7911528944969177,0.15,0.05,0.8
63,0.7925278544425964,0.15,0.1,0.75
64,0.7942691445350647,0.15,0.15,0.7
65,0.7944373488426208,0.15,0.2,0.65
66,0.793312132358551,0.15,0.25,0.6
67,0.794281005859375,0.15,0.3,0.55
68,0.7949296832084656,0.15,0.35,0.5
69,0.7968538999557495,0.15,0.4,0.45
70,0.7944314479827881,0.15,0.45,0.4
71,0.7935311198234558,0.15,0.5,0.35
72,0.7933069467544556,0.15,0.55,0.3
73,0.7909660339355469,0.15,0.6,0.25
74,0.7899604439735413,0.15,0.65,0.2
75,0.7882547378540039,0.15,0.7,0.15
76,0.7868152856826782,0.15,0.75,0.1
77,0.7852373123168945,0.15,0.8,0.05
78,0.7855204939842224,0.15,0.85,0.0
79,0.7899338603019714,0.2,0.0,0.8
80,0.7908234596252441,0.2,0.05,0.75
81,0.7919743657112122,0.2,0.1,0.7
82,0.7948793172836304,0.2,0.15,0.65
83,0.7961334586143494,0.2,0.2,0.6
84,0.7939636707305908,0.2,0.25,0.55
85,0.7943249344825745,0.2,0.3,0.5
86,0.7952802181243896,0.2,0.35,0.45
87,0.7933450937271118,0.2,0.4,0.4
88,0.7931791543960571,0.2,0.45,0.35
89,0.7923102378845215,0.2,0.5,0.3
90,0.793336033821106,0.2,0.55,0.25
91,0.7910714149475098,0.2,0.6,0.2
92,0.7885202765464783,0.2,0.65,0.15
93,0.7871560454368591,0.2,0.7,0.1
94,0.7866425514221191,0.2,0.75,0.05
95,0.786642849445343,0.2,0.8,0.0
96,0.7895523905754089,0.25,0.0,0.75
97,0.7911600470542908,0.25,0.05,0.7
98,0.7937158942222595,0.25,0.1,0.65
99,0.7956233620643616,0.25,0.15,0.6
100,0.7940719723701477,0.25,0.2,0.55
101,0.7924103736877441,0.25,0.25,0.5
102,0.7931756377220154,0.25,0.3,0.45
103,0.7944706082344055,0.25,0.35,0.4
104,0.792767345905304,0.25,0.4,0.35
105,0.793666660785675,0.25,0.45,0.3
106,0.7930248379707336,0.25,0.5,0.25
107,0.7918681502342224,0.25,0.55,0.2
108,0.791314423084259,0.25,0.6,0.15
109,0.7890685200691223,0.25,0.65,0.1
110,0.7868443727493286,0.25,0.7,0.05
111,0.7866566777229309,0.25,0.75,0.0
112,0.789630651473999,0.3,0.0,0.7
113,0.7900487184524536,0.3,0.05,0.65
114,0.7934231162071228,0.3,0.1,0.6
115,0.794859766960144,0.3,0.15,0.55
116,0.7952125072479248,0.3,0.2,0.5
117,0.793420672416687,0.3,0.25,0.45
118,0.7933669090270996,0.3,0.3,0.4
119,0.7936578989028931,0.3,0.35,0.35
120,0.7943810820579529,0.3,0.4,0.3
121,0.7939527630805969,0.3,0.45,0.25
122,0.794106125831604,0.3,0.5,0.2
123,0.7921977639198303,0.3,0.55,0.15
124,0.7894712686538696,0.3,0.6,0.1
125,0.7877246737480164,0.3,0.65,0.05
126,0.7865473031997681,0.3,0.7,0.0
127,0.7891262173652649,0.35,0.0,0.65
128,0.7894716262817383,0.35,0.05,0.6
129,0.7929575443267822,0.35,0.1,0.55
130,0.7951769232749939,0.35,0.15,0.5
131,0.795710563659668,0.35,0.2,0.45
132,0.7934377193450928,0.35,0.25,0.4
133,0.7945556640625,0.35,0.3,0.35
134,0.7941538095474243,0.35,0.35,0.3
135,0.7935963273048401,0.35,0.4,0.25
136,0.7939925789833069,0.35,0.45,0.2
137,0.7934472560882568,0.35,0.5,0.15
138,0.7908958792686462,0.35,0.55,0.1
139,0.7896570563316345,0.35,0.6,0.05
140,0.787833571434021,0.35,0.65,0.0
141,0.7875436544418335,0.4,0.0,0.6
142,0.7892674207687378,0.4,0.05,0.55
